날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	2024-08-16",108,29.8,26.8,34.3
"	2024-08-17",108,29.8,27.2,34
"	2024-08-18",108,29.5,27,33.9
"	2024-08-19",108,29.7,26.3,35.3
"	2024-08-20",108,31.4,27,35.4
"	2024-08-21",108,28.4,26.9,30.8
"	2024-08-22",108,28.6,27.1,30.3
"	2024-08-23",108,28.4,26.4,31.8
"	2024-08-24",108,27.6,25.1,30.9
"	2024-08-25",108,28.5,24.9,32.7
"	2024-08-26",108,28.1,25.6,30.6
"	2024-08-27",108,26.5,24.6,30.3
"	2024-08-28",108,28.2,23,33.2
"	2024-08-29",108,28.4,23.4,33.5
"	2024-08-30",108,28,23.7,32.9
"	2024-08-31",108,27.6,22.6,33
"	2024-09-01",108,27.1,24.6,31.6
"	2024-09-02",108,24.5,22.2,26.9
"	2024-09-03",108,27,23.2,32
"	2024-09-04",108,27.9,23.2,33.3
"	2024-09-05",108,26.3,25.6,28.8
"	2024-09-06",108,24,23.3,25.7
"	2024-09-07",108,26.5,22.8,31.3
"	2024-09-08",108,27.2,22.6,32.8
"	2024-09-09",108,28.5,24.1,34.1
"	2024-09-10",108,29.4,25.6,33.9
"	2024-09-11",108,29,25.4,34.6
"	2024-09-12",108,25.4,24.8,27.1
"	2024-09-13",108,25.9,24.2,28
"	2024-09-14",108,28,25.2,32.2
"	",,,,
